Carlow,390,427,394,401,373,473,512,457,442,509,499,390,334,188,222
Cavan,284,236,269,235,234,222,292,294,370,283,185,188,228,160,265
Clare,358,291,314,457,488,550,479,407,375,386,385,364,392,301,255
Cork,1695,1716,1845,1579,1421,1535,1505,1497,1675,1545,1470,1320,1499,855,1029
Donegal,565,512,423,375,400,429,528,403,480,443,396,406,323,216,293
Dublin,11051,10933,10531,9780,9084,9589,11018,10562,10901,11004,10465,12236,11619,8847,8203
Galway,977,720,1235,1046,1096,1059,1209,1120,951,1002,875,992,892,516,671
Kerry,307,356,508,459,347,355,369,368,356,337,316,360,388,178,251
Kildare,1238,1167,1149,1112,1383,1471,1636,1409,1767,1793,1287,1430,1382,971,1167
Kilkenny,381,329,445,543,420,417,561,543,592,549,562,538,381,240,217
Laois,343,346,385,363,354,377,364,400,515,602,645,672,586,362,338
Leitrim,83,73,89,104,92,143,133,111,153,127,84,128,107,78,138
Limerick,865,922,1178,1030,1048,1202,1357,1171,1330,1049,953,948,928,661,729
Longford,221,214,200,221,240,238,286,316,283,294,294,243,206,133,175
Louth,727,859,955,803,938,1073,948,954,970,1190,1155,1074,1070,732,668
Mayo,549,392,494,520,639,567,538,553,500,646,472,458,479,333,289
Meath,834,734,732,892,864,918,945,913,1253,1260,1058,952,882,595,804
Monaghan,197,157,212,151,213,147,197,229,259,184,171,166,198,194,219
Offaly,294,351,346,295,331,314,333,357,474,384,413,414,390,252,314
Roscommon,147,155,154,177,176,214,246,144,156,256,165,179,172,127,163
Sligo,322,255,231,198,249,238,241,189,232,275,255,242,219,140,137
Tipperary,589,598,737,714,594,603,682,599,745,695,755,637,518,434,375
Waterford,850,723,840,712,632,702,769,750,722,764,817,837,819,548,554
Westmeath,594,522,628,605,625,600,521,528,572,565,664,578,339,241,349
Wexford,753,791,841,845,751,793,739,746,948,1102,1094,1001,1049,527,558
Wicklow,1142,1121,1236,1200,996,1036,1096,1078,1170,1195,858,926,896,654,718
