Carlow,143,133,174,159,257,304,280,342,285,220,199,172,204,287,264
Cavan,139,89,149,182,194,140,132,136,152,166,94,50,108,97,90
Clare,184,211,232,358,384,411,438,430,284,268,368,409,340,349,327
Cork,1200,1325,1615,1597,1866,2673,2500,2110,1931,1781,1696,1637,1656,1619,1755
Donegal,309,216,226,340,393,467,480,328,407,248,211,211,215,250,292
Dublin,3063,3307,4857,5416,7646,10114,9427,8456,7268,7236,6482,7133,6583,6084,6090
Galway,341,378,348,424,515,608,450,481,447,496,526,571,576,611,601
Kerry,197,169,318,367,464,590,472,495,363,306,395,472,384,434,618
Kildare,541,541,740,633,797,1138,781,739,641,348,524,357,330,483,603
Kilkenny,277,284,265,313,321,367,284,314,244,231,270,234,177,311,202
Laois,142,238,579,435,571,593,463,437,395,405,483,547,405,467,619
Leitrim,25,22,21,29,42,39,24,31,34,20,51,49,29,26,33
Limerick,325,484,583,484,701,671,714,860,716,654,557,521,568,670,647
Longford,65,61,64,65,109,104,94,89,118,109,131,129,115,128,124
Louth,146,127,160,208,241,298,539,523,449,401,255,285,244,321,408
Mayo,167,244,271,251,310,439,429,392,437,368,257,248,240,280,296
Meath,144,172,166,182,327,389,554,351,275,298,238,216,231,299,361
Monaghan,52,97,107,112,135,189,101,153,95,117,134,152,123,137,157
Offaly,116,128,219,194,245,229,172,167,156,131,119,115,135,259,175
Roscommon,26,46,46,80,117,97,86,76,97,80,95,84,81,62,74
Sligo,114,91,133,137,210,246,192,160,244,203,148,125,127,144,149
Tipperary,422,357,385,517,639,799,721,561,482,439,451,572,497,515,646
Waterford,659,675,750,713,806,851,990,762,719,559,431,436,369,394,466
Westmeath,102,81,158,285,204,332,286,298,253,268,295,353,451,810,982
Wexford,199,209,473,425,481,468,522,465,423,344,261,250,277,404,379
Wicklow,201,227,308,325,549,800,742,637,656,682,654,535,587,594,463
