Carlow,276,285,443,606,582,689,713,541,493,357,308,265,225,237,250
Cavan,323,322,330,403,471,437,378,424,342,377,293,268,263,218,300
Clare,737,735,815,874,836,1001,831,763,593,540,507,405,462,429,470
Cork,3468,3785,3995,4436,4082,4343,3913,3629,3381,2783,2590,2538,2231,2134,2045
Donegal,1200,1163,1281,1287,1378,1499,1131,1005,845,746,637,672,669,625,543
Dublin,14048,16684,16751,17223,16009,16384,16279,15153,13728,13060,11397,11385,10537,9040,9193
Galway,1229,1187,1525,1627,1769,1957,1654,1374,1196,1119,935,905,824,768,938
Kerry,528,610,545,733,828,774,711,631,544,473,421,371,393,333,337
Kildare,1097,1140,1183,1451,1586,1685,1556,1464,1425,1260,1073,1008,864,714,826
Kilkenny,213,306,354,492,572,485,478,521,493,386,363,378,327,294,265
Laois,300,299,302,370,496,676,639,487,517,484,510,431,480,441,437
Leitrim,143,152,163,249,223,232,189,170,165,140,114,140,130,108,118
Limerick,1655,1493,1983,2302,2249,2329,2176,1990,1875,1670,1532,1239,1318,896,1020
Longford,238,240,220,325,296,281,358,303,286,262,237,242,244,190,192
Louth,1111,1167,1259,1440,1783,1871,1579,1372,1272,1220,1174,1046,1064,803,885
Mayo,1223,1202,1376,1564,1585,1391,1338,1187,1077,981,824,712,761,642,621
Meath,589,735,838,1054,994,1100,1127,1082,901,827,703,725,596,575,667
Monaghan,328,368,404,403,434,372,319,355,332,252,225,248,283,271,271
Offaly,360,328,528,562,570,478,459,500,420,379,367,343,327,274,338
Roscommon,240,198,162,211,242,223,213,164,171,160,158,148,137,142,139
Sligo,935,618,688,581,693,636,509,513,385,402,418,375,377,229,322
Tipperary,766,793,824,1013,1069,946,832,798,764,659,610,532,592,462,480
Waterford,801,778,1024,1420,1392,1324,1287,1338,1089,1035,944,765,858,699,746
Westmeath,623,695,768,767,990,825,798,761,626,618,542,557,459,401,417
Wexford,606,668,691,971,958,1029,1076,951,967,959,827,758,831,703,698
Wicklow,987,1089,1267,1223,1191,1373,1375,1341,1261,991,993,877,694,580,716
