Carlow,165,200,202,259,303,202,206,130,121,125,94,94,83,76,123
Cavan,278,337,450,541,583,497,355,266,223,200,165,167,176,181,199
Clare,228,276,315,531,596,532,422,318,273,209,197,225,185,213,213
Cork,1282,1431,1599,2223,2131,2086,1506,1317,1123,1024,925,845,825,872,948
Donegal,496,456,605,864,974,752,587,454,362,370,324,299,330,366,392
Dublin,2937,3076,3813,4615,5548,5311,4293,3208,2584,2350,1820,1702,1569,1651,1732
Galway,579,630,702,989,990,911,748,642,503,440,461,487,478,463,480
Kerry,526,530,522,663,549,571,408,426,349,329,315,295,317,301,331
Kildare,478,551,547,669,740,718,511,404,342,343,336,272,270,308,384
Kilkenny,267,271,210,284,343,324,291,223,171,225,153,131,140,163,138
Laois,220,204,278,369,352,340,219,153,143,150,103,135,128,138,209
Leitrim,90,88,121,169,164,153,102,65,61,56,40,64,45,41,51
Limerick,419,494,597,719,771,771,542,465,384,345,280,286,328,353,330
Longford,105,106,144,192,190,192,134,127,91,77,93,93,89,99,123
Louth,472,405,504,648,679,656,579,382,304,222,160,184,159,206,197
Mayo,507,387,437,560,528,595,446,332,286,243,199,216,228,254,279
Meath,372,449,504,614,684,643,556,404,336,275,269,228,240,285,303
Monaghan,348,374,428,560,511,434,296,224,210,192,162,142,143,203,211
Offaly,157,186,277,303,322,249,154,164,141,120,85,68,86,113,106
Roscommon,123,116,146,196,211,175,119,96,96,101,87,66,68,59,87
Sligo,127,158,155,307,293,224,227,153,135,104,92,90,95,100,132
Tipperary,428,453,470,646,786,780,606,495,390,307,315,350,320,299,423
Waterford,478,458,451,539,547,494,394,306,262,279,229,233,210,261,257
Westmeath,195,247,347,528,574,495,381,260,225,228,179,183,197,219,254
Wexford,369,456,506,740,706,607,503,355,329,336,227,227,221,262,300
Wicklow,315,330,375,471,656,520,453,329,247,195,185,150,184,200,168
