Carlow,3,0,1,1,2,3,1,1,1,0,0,2,1,1,0
Cavan,1,4,1,1,0,0,2,0,4,0,6,5,4,2,2
Clare,4,1,1,3,3,1,0,5,1,2,1,2,1,1,0
Cork,12,2,3,8,7,6,12,5,7,1,12,11,9,11,11
Donegal,2,2,1,3,12,5,4,2,2,2,8,2,3,4,2
Dublin,35,33,41,30,39,26,75,53,45,46,44,54,72,49,59
Galway,3,3,3,2,1,3,2,1,5,3,6,6,4,3,7
Kerry,0,3,0,0,1,0,1,5,3,1,4,0,3,3,8
Kildare,3,0,1,3,3,3,11,6,7,5,2,3,3,5,2
Kilkenny,0,1,1,0,0,0,2,3,2,1,1,1,1,0,1
Laois,0,1,0,2,2,2,1,3,3,2,1,1,7,1,3
Leitrim,1,0,0,1,1,0,0,1,0,0,5,0,0,0,3
Limerick,5,6,4,6,6,5,5,7,6,9,5,5,4,2,8
Longford,0,1,0,0,1,0,2,1,0,2,3,3,1,2,2
Louth,4,1,3,7,5,3,3,9,7,3,2,2,6,8,6
Mayo,2,2,0,1,5,2,6,4,4,1,1,7,10,1,0
Meath,1,0,1,2,2,5,2,4,1,2,1,3,1,5,0
Monaghan,1,1,1,0,0,2,2,1,3,0,1,6,0,3,0
Offaly,1,1,0,0,2,0,0,0,2,0,2,0,0,1,1
Roscommon,5,0,0,0,0,0,0,0,1,0,1,0,3,0,0
Sligo,0,0,0,1,0,1,1,1,1,1,0,1,4,1,1
Tipperary,4,0,3,1,4,2,3,4,3,8,3,3,2,8,6
Waterford,4,2,0,3,3,2,1,6,3,2,6,3,6,4,1
Westmeath,1,3,4,3,3,0,2,5,0,0,1,0,5,2,1
Wexford,2,5,4,0,4,3,2,4,2,2,2,2,0,3,3
Wicklow,3,2,1,4,2,1,2,2,2,4,3,2,3,2,1
