Carlow,21,19,23,24,12,39,37,26,29,29,15,21,11,12,15
Cavan,7,5,6,5,10,7,7,11,10,12,7,6,7,7,5
Clare,16,18,14,11,23,14,32,25,22,20,19,31,19,18,18
Cork,189,178,159,143,140,163,134,155,112,109,147,136,132,111,96
Donegal,17,11,13,20,23,20,19,17,25,27,23,18,27,23,9
Dublin,2057,1899,1593,1610,1321,1432,1512,2116,1997,1948,1910,1890,1783,1440,1507
Galway,56,51,58,81,44,46,36,51,43,25,49,34,37,20,46
Kerry,22,17,20,19,22,22,27,39,23,16,15,9,18,8,11
Kildare,76,74,97,85,93,81,156,145,114,90,91,57,84,88,70
Kilkenny,23,4,15,9,7,9,22,20,24,19,15,10,14,16,12
Laois,10,10,17,15,19,14,21,21,35,18,27,14,25,29,41
Leitrim,0,1,1,0,0,3,6,3,0,2,1,2,2,3,3
Limerick,81,83,74,84,93,118,102,132,114,74,90,66,71,59,56
Longford,11,7,11,9,9,14,12,12,8,3,16,4,14,10,6
Louth,53,51,33,67,80,61,53,97,63,96,74,65,88,66,70
Mayo,31,43,20,30,44,56,47,42,23,33,25,27,20,13,24
Meath,56,51,46,60,40,41,62,56,62,53,51,55,53,35,46
Monaghan,5,9,2,3,17,6,4,8,2,6,5,6,11,6,9
Offaly,10,10,11,6,9,11,17,17,11,13,16,12,4,7,5
Roscommon,3,2,3,4,5,5,4,2,6,1,1,7,7,5,5
Sligo,11,19,13,15,17,7,13,12,9,14,11,6,13,13,11
Tipperary,22,13,18,15,17,26,29,23,23,34,24,21,20,18,19
Waterford,41,36,35,67,53,37,64,80,91,83,67,37,33,30,44
Westmeath,32,31,33,39,33,23,34,32,32,22,28,32,24,13,11
Wexford,26,21,21,21,22,22,21,20,16,16,22,40,17,20,18
Wicklow,37,53,87,47,51,52,52,72,60,48,47,44,40,29,30
