Carlow,13,25,17,11,16,51,44,39,33,21,25,24,14,15,19
Cavan,15,10,18,36,41,21,35,29,27,15,23,27,21,27,37
Clare,44,46,54,47,84,92,98,89,51,61,63,54,52,53,38
Cork,169,205,251,249,305,376,335,307,264,244,238,189,158,147,188
Donegal,33,45,45,82,97,103,107,97,55,38,42,42,44,52,36
Dublin,925,952,1153,1385,1473,1788,1760,1862,1639,1417,1228,1128,1117,959,1060
Galway,60,55,59,65,95,103,122,100,98,77,65,66,54,74,78
Kerry,22,33,50,60,66,81,89,137,88,78,45,61,53,37,51
Kildare,48,42,64,61,101,93,92,108,98,63,54,52,72,62,86
Kilkenny,49,16,18,23,38,32,40,38,46,27,45,36,24,26,19
Laois,4,9,13,28,34,39,59,48,36,47,40,30,48,41,52
Leitrim,5,7,3,11,17,12,21,18,14,12,12,14,10,8,6
Limerick,102,164,152,167,195,176,189,204,171,158,126,144,111,105,101
Longford,10,13,9,31,31,29,36,26,30,21,26,19,28,17,31
Louth,51,39,62,80,85,139,111,139,97,83,101,77,67,80,103
Mayo,66,86,139,136,144,113,122,107,107,83,74,65,60,40,50
Meath,25,33,35,54,74,98,109,83,82,60,45,52,45,49,50
Monaghan,16,15,18,21,23,20,35,27,32,23,22,29,22,21,15
Offaly,21,52,60,37,57,45,61,60,45,42,46,25,23,33,41
Roscommon,3,10,17,8,20,20,26,17,11,13,7,11,14,12,10
Sligo,17,18,18,39,49,58,36,63,38,33,45,42,31,25,43
Tipperary,59,85,76,138,196,161,140,128,86,60,98,59,71,35,65
Waterford,71,86,99,105,101,130,135,141,94,130,84,66,59,82,70
Westmeath,23,22,31,60,50,74,64,63,49,44,38,53,49,45,36
Wexford,30,42,44,89,82,73,85,57,63,68,42,43,46,36,40
Wicklow,36,45,49,101,122,101,140,128,130,124,104,64,81,52,50
